generator,roc_auc,pr_auc,eer,threshold_used,balanced_accuracy,macro_f1,real_fpr,fake_miss_rate,tn,fp,fn,tp,condition
brev,0.8796296296296297,0.8591047261163299,0.24583333333333332,0.8784699961277153,0.8166666666666667,0.8168655160430904,0.2,0.16666666666666666,36,9,8,40,mp3_64
diffrhythm,0.8160756501182034,0.6954906609693171,0.17446808510638298,0.8784699961277153,0.7936170212765958,0.793453857969987,0.2,0.2127659574468085,36,9,10,37,mp3_64
elevenlabs,0.8226851851851852,0.812176438418809,0.2041666666666667,0.8784699961277153,0.74375,0.7416666666666667,0.2,0.3125,36,9,15,33,mp3_64
mubert,0.9111111111111112,0.8020893510368494,0.1930555555555556,0.8784699961277153,0.9,0.8654970760233918,0.2,0.0,36,9,0,24,mp3_64
musicgen,0.980246913580247,0.9752966021588426,0.03333333333333331,0.8784699961277153,0.9,0.898989898989899,0.2,0.0,36,9,0,45,mp3_64
producer,0.9057777777777778,0.8352086859463702,0.13777777777777778,0.8784699961277153,0.8600000000000001,0.8372437116888607,0.2,0.08,36,9,2,23,mp3_64
songgen,0.9718518518518517,0.9651975383017809,0.03333333333333331,0.8784699961277153,0.8888888888888888,0.8880039820806371,0.2,0.022222222222222223,36,9,1,44,mp3_64
stableaudio,0.9188034188034188,0.8131087544854869,0.1547008547008547,0.8784699961277153,0.8807692307692307,0.8556910569105691,0.2,0.038461538461538464,36,9,1,25,mp3_64
suno,0.8763888888888889,0.8330298019245768,0.1826388888888889,0.8784699961277153,0.8375,0.8380355276907001,0.2,0.125,36,9,6,42,mp3_64
udio,0.8916666666666666,0.8699836399024177,0.1618055555555556,0.8784699961277153,0.8583333333333334,0.8591729761211415,0.2,0.08333333333333333,36,9,4,44,mp3_64
